Unnamed: 0,Unnamed: 1,超药品说明书内容,Unnamed: 2,Unnamed: 3
通用名称,剂型,证据等级及依据,,推荐意见
,,适应证 用法用量,,
阿米卡星,注射剂,非结核分枝杆菌感染(HIV - 5级:1NIH/CDC/IDSA指南:艾滋病病毒感,,某些情况
,,患者播散性鸟分枝杆菌 染的成人和儿童机会性感染的预防和治,,下推荐
,,复合群感染、严重脓肿 疗(2014);英文最新版:Mycobacterium,,
,,分枝杆菌播散性感染和 Avium Complex Disease(2019)(C-III);,,
,,偶然分枝杆菌感染等) 2热病(新译 48版)[1]P148;3中华医学,,
,,会结核病学分会 .非结核分枝杆菌病诊断,,
,,与治疗指南(2020).中华结核和呼吸杂,,
,,"志,2020",,
,,"细菌性脑膜炎 15 mg/kg,q8 h 1级:FDA已批准阿米卡星用于成人细菌性",,推荐
,,脑膜炎,,
,,"3级:治疗有效,Micromedex有效性等级I,",,
,,"推荐等级IIb,证据强度B",,
阿奇霉素,片剂、,囊性肺纤维化 - 2级:欧洲囊性纤维化学会 .ECFS最佳实践,,推荐
,注射,指南(2018)P10,,
,剂,3级:见参考文献[2],,
,,"4级:证据支持有效,Micromedex有效性等",,
,,"级IIa,推荐等级IIb,证据强度B",,
,,支气管扩张症 - 3级:1欧洲呼吸学会 .ERS成人支气管扩张,,推荐
,,症治疗指南(2017)P11(有条件的推荐);,,
,,2热病(新译48版)[1]P38,,
氨曲南,注射剂,- 吸入治疗囊性肺纤维化 1级:FDA已批准吸入氨曲南用于治疗合并,,推荐
,,合并铜绿假单胞菌感 铜绿假单胞菌感染的囊性肺纤维化,,
,,"染 3级:治疗有效,Micromedex有效性等级I,",,
,,"推荐等级IIb,证据强度B",,
,,5级:见参考文献[3],,
奥硝唑,胶囊剂,"预防克罗恩病术后复发 每次0.5 g,每次12 h 2级:美国结肠和直肠外科医师学会克罗恩",,推荐
