续表14 心血管药物超药品说明书用药目录,Unnamed: 0,Unnamed: 1
,超药品说明书内容,
通用名称,剂型 证据等级及依据,推荐意见
,适应证 用法用量,
奥美沙坦酯,片剂 心力衰竭 - 5级:中华医学会心血管病学分会心力衰竭学组 .中国心,某些情况下
,"力衰竭诊断和治疗指南(2018).中华心血管病杂志,",推荐
,2018,
贝前列素钠,片剂 原发性肺 - 1级:日本已批准贝前列素钠用于治疗肺高血压病,推荐
,动脉高 5级:1中华医学会呼吸病学分会肺栓塞与肺血管病学,
,压 组 .中国肺高血压诊断与治疗指南(2021).中华医学杂,
,"志,2021;2欧洲心脏病学会 .2015 ESC/ERS肺高血压",
,诊断和治疗指南,
比索洛尔,片剂 心肌梗死 - 5级:中华医学会心血管病学分会 .急性 ST段抬高型心肌,某些情况下
,"梗死诊断和治疗指南(2019).中华心血管病杂志,2019",推荐
,"房颤 - 4级:治疗证据支持有效,Micromedex有效性IIa,推荐等",大多数情况
,"级IIb,证据强度B",下推荐
螺内酯,片剂 心力衰竭 - 1级:FDA批准螺内酯(商品名Aldatone)用于充血性心力,推荐
,衰竭,
,5级:中华医学会心血管病学分会心力衰竭学组 .中国心,
,"力衰竭诊断和治疗指南(2018).中华心血管病杂志,",
,2018,
尿激酶,"注射 - 急性下肢深静脉血栓,4级:治疗证据支持有效,Micromedex有效性等级IIa,推",大多数情况
,"剂 40~60万 IU/24 h 荐等级IIb,证据强度B",下推荐
,微量泵持续泵入 5级:中华医学会外科学分会血管外科学组 .深静脉血栓,
,"形成的诊断和治疗指南(第二版).中国血管外科杂志,",
,2013,
替米沙坦,"片剂 左心室肥 - 4级:治疗证据支持有效,Micromedex有效性等级IIa,推",大多数情况
