续表47 抗肿瘤药物超药品说明书用药目录,Unnamed: 0,Unnamed: 1,Unnamed: 2
,超药品说明书内容,,推荐
通用名称,剂型,证据等级及依据,
,适应证 用法用量,,意见
紫杉醇(白,粉针剂 铂敏感或铂耐药的复 参见指南,2级:1NCCN临床实践指南:卵巢癌包括输卵管癌和原发,推荐
蛋白结,发性卵巢癌,性腹膜癌(2020.V2)P40;2国家卫生健康委员会 .卵巢,
合型),,癌诊疗规范卵巢癌诊疗规范(2018)P27,
,,"4级:治疗证据支持有效,Micromedex有效性等级IIa,推",
,,"荐等级IIb,证据强度B",
,局部晚期或转移性的 见FDA药品,1级:FDA已批准紫杉醇(白蛋白结合型)与卡铂联合用于,推荐
,"非小细胞肺癌,联合 说明书",成人不适合进行手术或放疗的局部晚期或转移性非小,
,卡铂作为一线治疗,细胞肺癌的一线治疗,
,方案,2级:NCCN临床实践指南:非小细胞肺癌(2021.V1)P47,
,,"4级:治疗证据支持有效,Micromedex有效性等级IIa,推",
,,"荐等级IIb,证据强度B",
,联合吉西他滨作为转 见FDA药品,1级:FDA已批准紫杉醇(白蛋白结合型)与吉西他滨联合,推荐
